elapsed_s,x_g,y_g,z_g,writing,word,newline
2.4997,0.3290,0.9200,0.3070,1,,0
2.5203,0.2680,0.9420,0.3270,1,,0
2.5366,0.2710,0.9430,0.2990,1,,0
2.5571,0.2920,0.9350,0.2970,1,,0
2.5775,0.1610,1.0560,0.3530,1,,0
2.5980,-0.0010,1.2250,0.3930,1,,0
2.6185,0.0440,1.0620,0.3540,1,,0
2.6390,0.2920,0.7930,0.2470,1,,0
2.6594,0.3530,0.7480,0.3120,1,,0
2.6759,0.3670,0.7900,0.2240,1,,0
2.6964,0.6770,0.5740,0.2690,1,,0
2.7168,1.0140,0.3640,0.2430,1,,0
2.7372,1.0930,0.2720,0.2400,1,,0
2.7577,0.8700,0.5100,0.2280,1,,0
2.7782,0.8980,0.4790,0.2680,1,,0
2.7946,0.8540,0.6130,0.2320,1,,0
2.8151,0.7050,0.6640,0.1940,1,,0
2.8356,0.6890,0.6170,0.2520,1,,0
2.8560,0.6780,0.7210,0.2350,1,,0
2.8765,0.7690,0.5620,0.1920,1,,0
2.8970,0.9930,0.3580,0.2180,0,,0
2.9133,1.0970,0.2830,0.2300,0,,0
2.9339,1.0780,0.2880,0.1730,0,,0
2.9543,1.1000,0.2030,0.2090,0,,0
2.9748,0.9770,0.3810,0.2310,0,,0
2.9953,0.5240,0.5810,0.2590,0,,0
3.0158,0.1870,0.9840,0.2440,0,,0
3.0322,0.0150,1.2240,0.3350,0,,0
3.0526,-0.1090,1.2570,0.3020,0,,0
3.0772,-0.1100,1.2390,0.2810,0,,0
3.0936,0.1920,0.9400,0.2810,0,,0
3.1140,0.5770,0.6860,0.2490,0,,0
3.1345,0.7000,0.7160,0.2850,0,,0
3.1550,0.7440,0.6580,0.2420,0,,0
3.1755,0.7420,0.6750,0.2760,0,,0
3.1919,0.5550,0.7940,0.3330,0,,0
3.2124,0.3450,0.9250,0.3070,0,,0
3.2329,0.2130,1.0640,0.2740,0,,0
3.2534,0.1930,1.0060,0.2840,0,,0
3.2738,0.2840,0.9360,0.2950,0,,0
3.2944,0.4270,0.8400,0.2340,0,,0
3.3106,0.5520,0.7780,0.2460,0,,0
3.3311,0.4820,0.8830,0.2860,0,,0
3.3516,0.3430,0.9320,0.2940,0,,0
3.3721,0.3170,0.9050,0.3120,1,,0
3.3926,0.3680,0.8840,0.2980,1,,0
3.4131,0.4240,0.8730,0.2670,1,,0
3.4294,0.4210,0.8910,0.2980,1,,0
3.4499,0.4010,0.8880,0.2770,1,,0
3.4704,0.3930,0.8520,0.2840,1,,0
3.4909,0.4420,0.8680,0.2660,1,,0
3.5114,0.3900,0.9200,0.2790,1,the,0
3.5277,0.2470,1.0130,0.2820,1,the,0
3.5483,0.3330,0.8930,0.2770,1,the,0
3.5687,0.3340,0.9440,0.3210,1,the,0
3.5892,0.3540,0.9110,0.3160,1,the,0
3.6097,0.3120,0.9290,0.3120,1,the,0
3.6301,0.3030,0.9080,0.3810,1,the,0
3.6466,0.3140,0.9290,0.2660,1,the,0
3.6670,0.3360,0.9150,0.3580,1,the,0
3.6875,0.3430,0.9500,0.2960,1,the,0
3.7080,0.2990,0.8980,0.3870,1,the,0
3.7284,0.2570,0.9210,0.2520,1,the,0
3.7489,0.3240,0.9700,0.2040,1,the,0
3.7694,0.3400,0.8630,-0.0200,1,the,0
3.7857,0.4660,0.9140,0.2930,1,the,0
3.8062,0.4210,0.7730,0.3890,1,the,0
3.8266,0.4600,0.7480,0.3940,1,the,0
3.8472,0.2160,0.9470,0.3530,1,the,0
3.8676,0.4020,0.8490,0.3530,1,the,0
3.8882,0.3420,0.9840,0.3590,1,the,0
3.9045,0.1770,0.9290,0.4000,1,the,0
3.9250,0.2280,1.0690,0.4870,1,the,0
3.9455,-0.1970,1.1080,0.3760,1,the,0
3.9660,0.2290,0.9480,0.3000,1,the,0
3.9864,0.3850,0.9160,0.2590,1,the,0
4.0069,0.2460,0.9840,0.1590,1,the,0
4.0274,0.2640,0.8720,0.3960,1,the,0
4.0438,0.3240,0.9350,0.3530,1,the,0
4.0644,0.4720,0.7260,0.3280,1,the,0
4.0847,0.4660,0.8220,0.3090,1,the,0
4.1052,0.5130,0.7230,0.3300,1,the,0
4.1257,0.1540,1.0670,0.3910,1,the,0
4.1462,0.1460,0.9410,0.2930,1,the,0
4.1626,0.2280,0.9420,0.3540,1,the,0
4.1831,0.2810,0.9180,0.3990,1,the,0
4.2035,0.3150,0.9180,0.3160,1,the,0
4.2240,0.3100,0.9700,0.3580,1,the,0
4.2445,0.2310,0.9790,0.2390,1,the,0
4.2650,0.2730,1.0000,0.1930,1,the,0
4.2815,0.3310,0.8730,0.3120,1,the,0
4.3019,0.5190,0.7660,0.3500,1,the,0
4.3223,0.2830,0.9480,0.3320,1,the,0
4.3428,0.3240,0.8880,0.2230,1,the,0
4.3633,0.2300,0.9730,0.3750,1,the,0
4.3798,0.2430,0.9370,0.5420,1,the,0
4.4002,0.1930,0.9480,0.5710,1,the,0
4.4206,0.1650,0.8850,0.4550,1,the,0
4.4411,0.2320,0.9420,0.2500,1,the,0
4.4615,0.3660,0.9700,0.1210,1,the,0
4.4820,0.3710,0.9400,0.0770,1,the,0
4.4984,0.4240,0.8730,0.3040,1,the,0
4.5189,0.5140,0.7220,0.3470,1,the,0
4.5394,0.1420,0.9790,0.3960,1,the,0
4.5598,0.2820,0.9300,0.1100,1,the,0
4.5804,0.2230,1.0050,0.3030,1,the,0
4.6008,0.2240,0.9770,0.4020,1,the,0
4.6172,0.2610,0.9560,0.3520,1,the,0
