elapsed_s,x_g,y_g,z_g,writing,word,newline
2.5048,0.1780,0.9000,0.4470,1,,0
2.5253,0.1740,0.8160,0.5750,1,,0
2.5458,0.3460,0.6900,0.5120,1,,0
2.5621,0.3330,0.8530,0.4900,1,,0
2.5828,0.3090,0.8760,0.4950,1,,0
2.6032,0.0860,0.7880,0.4820,1,,0
2.6237,0.0700,0.8680,0.5620,1,,0
2.6441,-0.0090,0.9540,0.5980,1,,0
2.6647,-0.3710,0.8720,0.6630,1,,0
2.6850,-0.2060,0.6720,0.7370,1,,0
2.7055,-0.0560,0.7100,0.7480,1,,0
2.7260,0.0780,0.8230,0.5560,1,,0
2.7464,0.0350,0.9230,0.3600,1,,0
2.7670,0.0410,1.0410,0.4540,1,,0
2.7875,0.1980,0.9760,0.4120,1,,0
2.8038,0.1980,0.8080,0.4250,1,,0
2.8244,0.3500,0.8330,0.4680,1,,0
2.8448,0.4410,0.7760,0.5370,1,,0
2.8653,0.4150,0.7450,0.5000,1,,0
2.8858,-0.0040,0.8740,0.5160,1,,0
2.9063,0.0770,0.9200,0.5180,1,,0
2.9267,0.1660,0.8740,0.4820,1,,0
2.9431,0.0360,0.8380,0.5680,1,,0
2.9636,0.1430,0.8910,0.5140,1,,0
2.9841,0.0460,0.9150,0.4560,1,,0
3.0045,0.0660,0.9010,0.5090,1,,0
3.0250,0.1770,0.8790,0.5100,1,,0
3.0454,0.2180,0.8470,0.5390,1,,0
3.0618,0.1950,0.8210,0.5200,1,,0
3.0823,0.2470,0.8690,0.4830,1,,0
3.1028,0.2170,0.8880,0.4400,1,,0
3.1233,0.1250,0.8960,0.5020,1,,0
3.1437,0.0970,0.8320,0.5890,1,,0
3.1642,0.2250,0.8220,0.5490,1,,0
3.1806,0.1620,0.9120,0.4620,1,,0
3.2011,0.0940,0.9130,0.5020,1,,0
3.2215,0.0860,0.8960,0.5150,1,,0
3.2420,0.1490,0.8640,0.5160,1,,0
3.2625,0.1640,0.8430,0.5290,1,,0
3.2789,0.1490,0.8620,0.4910,1,,0
3.2994,0.1300,0.8950,0.4960,1,,0
3.3199,0.1440,0.8400,0.5320,1,,0
3.3404,0.2300,0.8000,0.5130,1,,0
3.3608,0.1650,0.8920,0.5830,1,,0
3.3814,0.0820,0.8520,0.5490,1,,0
3.3976,0.1340,0.9010,0.5430,1,,0
3.4181,0.1530,0.8880,0.4900,1,,0
3.4387,0.1390,0.9070,0.4980,1,,0
3.4591,0.0990,0.8780,0.4720,1,,0
3.4796,0.0710,0.8860,0.5030,1,,0
3.5001,0.0480,0.8800,0.5100,1,,0
3.5205,-0.3500,0.8840,0.0220,1,,0
3.5411,-0.3590,1.0170,0.0920,1,,0
3.5615,0.5930,0.8850,1.0560,1,,0
3.5779,0.7290,0.9000,0.5200,1,,0
3.5984,-0.0470,0.8610,0.4460,1,,0
3.6189,0.0970,0.8690,0.5230,1,,0
3.6394,0.1850,0.8850,0.4400,1,,0
3.6598,0.1710,0.8880,0.5450,1,,0
3.6803,0.1050,0.8810,0.5240,1,,0
3.7008,0.1650,0.8950,0.4440,1,,0
3.7172,0.2600,0.8570,0.3770,1,,0
3.7377,-0.1340,0.8800,0.2320,1,,0
3.7581,0.2310,0.9180,0.2290,1,,0
3.7786,0.2100,0.8540,0.2600,1,,0
3.7991,0.9920,0.8270,0.4760,1,,0
3.8196,-0.0300,0.8320,0.7420,1,,0
3.8400,0.1600,0.8830,0.4800,1,,0
3.8605,0.2380,0.8850,0.4920,1,,0
3.8811,-0.0250,0.8740,0.5220,1,,0
3.9014,-0.2310,0.8750,0.9940,1,,0
