elapsed_s,x_g,y_g,z_g,writing,word,newline
2.5439,-0.4790,0.4020,1.0910,1,,0
2.5644,0.7520,0.7720,0.5010,1,,0
2.5849,0.5190,0.8410,0.5190,1,,0
2.6013,0.0930,0.5720,0.7150,1,,0
2.6217,0.4220,0.7420,0.1310,1,,0
2.6422,0.6800,0.8720,0.1060,1,,0
2.6626,0.5840,0.8130,0.1400,1,,0
2.6832,0.6830,0.8190,0.0760,1,,0
2.7036,0.4380,0.8980,0.2410,1,,0
2.7200,0.1780,0.8790,0.6520,1,,0
2.7405,0.0120,0.9680,0.1430,1,,0
2.7609,0.3120,1.2380,0.2870,1,,0
2.7815,0.1610,1.1300,0.2300,1,,0
2.8019,0.2260,0.8810,0.1730,1,,0
2.8224,0.3690,0.8860,0.1970,1,,0
2.8391,0.5140,0.8200,0.2040,1,,0
2.8593,0.5310,0.8280,0.1950,1,,0
2.8798,0.4590,0.9170,0.2080,1,,0
2.9003,0.3420,0.9330,0.1980,1,,0
2.9207,0.2430,0.9260,0.3340,1,,0
2.9370,0.2080,0.9340,0.3440,1,,0
2.9576,0.2480,1.0350,0.2250,1,,0
2.9780,0.1810,0.9830,0.2020,1,,0
2.9987,0.2960,0.9700,0.2050,1,,0
3.0190,0.3450,0.9290,0.2310,1,,0
3.0413,0.3310,0.9220,0.2060,1,,0
3.0559,0.3230,0.9470,0.2090,1,,0
3.0763,0.2800,0.9140,0.1990,1,,0
3.0969,0.2500,0.9450,0.2290,1,,0
3.1173,0.2480,0.9340,0.3130,1,,0
3.1378,0.3100,0.9540,0.2330,1,,0
3.1583,0.3350,0.9510,0.1760,1,,0
3.1746,0.3100,0.9480,0.1820,1,,0
3.1951,0.2980,0.9210,0.2150,1,,0
3.2156,0.2840,0.9430,0.2530,1,,0
3.2361,0.2840,0.9550,0.2430,1,,0
3.2565,0.2760,0.9510,0.2280,1,,0
3.2770,0.3120,0.8960,0.2550,1,,0
3.2933,0.1990,1.0440,0.2060,1,,0
3.3139,0.1950,0.9700,0.2110,1,,0
3.3343,0.2470,0.9610,0.2270,1,,0
