timestamp,elapsed_s,x_g,y_g,z_g,dx,dy,dz,l2_norm
2026-04-04T23:08:28.632,0.299,0.321,0.160,-0.922,0.0000,0.0000,0.0000,0.000000
2026-04-04T23:08:28.632,0.299,0.325,0.169,-0.918,0.0040,0.0090,0.0040,0.000113
2026-04-04T23:08:28.632,0.299,0.329,0.161,-0.919,0.0040,-0.0080,-0.0010,0.000081
2026-04-04T23:08:28.632,0.299,0.325,0.166,-0.920,-0.0040,0.0050,-0.0010,0.000042
2026-04-04T23:08:28.632,0.299,0.320,0.166,-0.921,-0.0050,0.0000,-0.0010,0.000026
2026-04-04T23:08:28.648,0.314,0.318,0.163,-0.915,-0.0020,-0.0030,0.0060,0.000049
2026-04-04T23:08:28.701,0.367,0.321,0.169,-0.920,0.0030,0.0060,-0.0050,0.000070
2026-04-04T23:08:28.754,0.421,0.326,0.167,-0.916,0.0050,-0.0020,0.0040,0.000045
2026-04-04T23:08:28.807,0.474,0.327,0.163,-0.923,0.0010,-0.0040,-0.0070,0.000066
2026-04-04T23:08:28.860,0.527,0.327,0.167,-0.922,0.0000,0.0040,0.0010,0.000017
2026-04-04T23:08:28.914,0.580,0.330,0.162,-0.925,0.0030,-0.0050,-0.0030,0.000043
2026-04-04T23:08:28.971,0.637,0.318,0.165,-0.924,-0.0120,0.0030,0.0010,0.000154
2026-04-04T23:08:29.024,0.691,0.324,0.163,-0.926,0.0060,-0.0020,-0.0020,0.000044
2026-04-04T23:08:29.077,0.744,0.325,0.162,-0.921,0.0010,-0.0010,0.0050,0.000027
2026-04-04T23:08:29.131,0.797,0.324,0.165,-0.921,-0.0010,0.0030,0.0000,0.000010
2026-04-04T23:08:29.184,0.850,0.331,0.164,-0.927,0.0070,-0.0010,-0.0060,0.000086
2026-04-04T23:08:29.237,0.904,0.326,0.165,-0.923,-0.0050,0.0010,0.0040,0.000042
2026-04-04T23:08:29.290,0.957,0.325,0.162,-0.913,-0.0010,-0.0030,0.0100,0.000110
2026-04-04T23:08:29.344,1.010,0.325,0.164,-0.916,0.0000,0.0020,-0.0030,0.000013
2026-04-04T23:08:29.397,1.063,0.323,0.164,-0.918,-0.0020,0.0000,-0.0020,0.000008
2026-04-04T23:08:29.450,1.117,0.326,0.165,-0.920,0.0030,0.0010,-0.0020,0.000014
2026-04-04T23:08:29.503,1.170,0.322,0.162,-0.919,-0.0040,-0.0030,0.0010,0.000026
2026-04-04T23:08:29.556,1.223,0.327,0.170,-0.924,0.0050,0.0080,-0.0050,0.000114
2026-04-04T23:08:29.610,1.276,0.324,0.167,-0.917,-0.0030,-0.0030,0.0070,0.000067
2026-04-04T23:08:29.663,1.329,0.318,0.165,-0.917,-0.0060,-0.0020,0.0000,0.000040
2026-04-04T23:08:29.748,1.415,0.319,0.162,-0.915,0.0010,-0.0030,0.0020,0.000014
2026-04-04T23:08:29.798,1.465,0.320,0.167,-0.930,0.0010,0.0050,-0.0150,0.000251
2026-04-04T23:08:29.849,1.515,0.322,0.168,-0.921,0.0020,0.0010,0.0090,0.000086
2026-04-04T23:08:29.899,1.565,0.324,0.165,-0.914,0.0020,-0.0030,0.0070,0.000062
2026-04-04T23:08:29.949,1.615,0.324,0.158,-0.917,0.0000,-0.0070,-0.0030,0.000058
2026-04-04T23:08:29.999,1.665,0.327,0.164,-0.924,0.0030,0.0060,-0.0070,0.000094
2026-04-04T23:08:30.049,1.715,0.322,0.167,-0.919,-0.0050,0.0030,0.0050,0.000059
2026-04-04T23:08:30.098,1.764,0.327,0.164,-0.917,0.0050,-0.0030,0.0020,0.000038
2026-04-04T23:08:30.149,1.815,0.325,0.162,-0.921,-0.0020,-0.0020,-0.0040,0.000024
2026-04-04T23:08:30.199,1.866,0.323,0.167,-0.921,-0.0020,0.0050,0.0000,0.000029
2026-04-04T23:08:30.253,1.919,0.330,0.164,-0.916,0.0070,-0.0030,0.0050,0.000083
2026-04-04T23:08:30.306,1.972,0.318,0.167,-0.919,-0.0120,0.0030,-0.0030,0.000162
2026-04-04T23:08:30.359,2.025,0.320,0.167,-0.921,0.0020,0.0000,-0.0020,0.000008
2026-04-04T23:08:30.412,2.079,0.324,0.164,-0.918,0.0040,-0.0030,0.0030,0.000034
2026-04-04T23:08:30.498,2.164,0.323,0.165,-0.921,-0.0010,0.0010,-0.0030,0.000011
2026-04-04T23:08:30.548,2.215,0.319,0.172,-0.924,-0.0040,0.0070,-0.0030,0.000074
