elapsed_s,x_g,y_g,z_g,writing,word,newline
2.4742,0.1310,0.8950,0.5060,1,quick,0
2.4947,0.1340,0.8870,0.5340,1,quick,0
2.5152,0.1830,0.8110,0.5480,1,quick,0
2.5356,0.2190,0.8010,0.5570,1,quick,0
2.5560,0.2240,0.8200,0.5480,1,quick,0
2.5725,0.1770,0.8500,0.5470,1,quick,0
2.5933,0.1470,0.8590,0.5270,1,quick,0
2.6134,0.1480,0.8400,0.5310,1,quick,0
2.6340,0.1870,0.8410,0.5450,1,quick,0
2.6544,0.1990,0.8250,0.5310,1,quick,0
2.6749,0.1810,0.8520,0.5290,1,quick,0
2.6913,0.1650,0.8270,0.5370,1,quick,0
2.7117,0.1570,0.8450,0.5420,1,quick,0
2.7323,0.1620,0.8460,0.5430,1,quick,0
2.7527,0.1770,0.8540,0.5290,1,quick,0
2.7732,0.1870,0.8400,0.5340,1,quick,0
2.7896,0.1830,0.8330,0.5450,1,quick,0
2.8101,0.1820,0.8360,0.5360,1,quick,0
2.8305,0.1610,0.8500,0.5370,1,quick,0
2.8510,0.1270,0.8780,0.5200,1,quick,0
2.8715,0.1330,0.8390,0.5170,1,quick,0
2.8921,0.2140,0.8240,0.5400,1,quick,0
2.9084,0.2040,0.8010,0.5800,1,quick,0
2.9288,0.1480,0.9360,0.5780,1,quick,0
2.9493,0.1470,0.8760,0.4810,1,quick,0
2.9698,0.1660,0.8930,0.4780,1,quick,0
2.9903,0.1580,0.8550,0.5240,1,quick,0
3.0107,0.3200,0.8490,0.5080,1,quick,0
3.0271,0.2520,0.8630,0.3340,1,quick,0
3.0476,0.1830,0.9100,0.5680,1,quick,0
3.0682,0.1750,0.8510,0.4080,1,quick,0
3.0886,0.1040,0.7390,0.6140,1,quick,0
3.1092,0.2550,0.6680,0.6550,1,quick,0
3.1254,0.1870,0.8650,0.7970,1,quick,0
3.1459,0.2390,1.0580,0.3090,1,quick,0
3.1664,-0.0150,0.8240,0.5320,1,quick,0
3.1869,0.0830,0.8600,0.5900,1,quick,0
3.2074,0.1790,0.7530,0.2480,1,quick,0
3.2278,0.4300,0.8570,0.1090,1,quick,0
3.2483,0.4240,0.9810,0.3690,1,quick,0
3.2688,0.4780,0.6820,0.4170,1,quick,0
3.2852,0.2430,0.9080,0.4300,1,quick,0
3.3056,0.1380,0.8670,0.5150,1,quick,0
3.3263,0.0100,0.8550,0.5850,1,quick,0
3.3466,0.3210,0.9260,0.5900,1,quick,0
3.3671,0.2000,0.9380,0.4430,1,quick,0
3.3835,0.0830,0.8630,0.4980,1,quick,0
3.4039,0.1160,0.8400,0.5190,1,quick,0
3.4244,0.2560,0.8070,0.5310,1,quick,0
3.4449,0.3370,0.7850,0.4880,1,quick,0
3.4654,0.3000,0.8160,0.4790,1,quick,0
3.4858,0.2180,0.8380,0.4820,1,quick,0
3.5022,0.1840,0.8430,0.5130,1,quick,0
