elapsed_s,x_g,y_g,z_g,writing,word,newline
2.4220,0.5100,0.7210,0.4240,1,quick,0
2.4385,0.4000,0.9230,0.4910,1,quick,0
2.4590,0.0770,0.9350,0.3900,1,quick,0
2.4794,0.1430,0.9350,0.4920,1,quick,0
2.4999,0.2250,0.9190,0.3620,1,quick,0
2.5204,0.2590,0.9440,0.2490,1,quick,0
2.5408,0.2160,0.8960,0.3360,1,quick,0
2.5572,0.3160,0.9080,0.3070,1,quick,0
2.5777,0.2760,0.9310,0.1890,1,quick,0
2.5982,0.2410,0.9130,0.3540,1,quick,0
2.6187,0.3260,0.9850,0.3560,1,quick,0
2.6392,0.1960,0.9090,0.4520,1,quick,0
2.6556,0.2290,0.9330,0.3870,1,quick,0
2.6760,0.3810,0.7520,0.4230,1,quick,0
2.6965,0.4370,0.7510,0.4200,1,quick,0
2.7169,0.4320,1.0540,0.4330,1,quick,0
2.7375,0.1490,0.9250,0.3960,1,quick,0
2.7579,0.1910,0.9290,0.3960,1,quick,0
2.7743,0.2550,0.9180,0.3500,1,quick,0
2.7948,0.3390,0.9430,0.3000,1,quick,0
2.8153,0.2830,0.9410,0.2780,1,quick,0
2.8358,0.2190,0.9780,0.3340,1,quick,0
2.8562,0.2830,1.0380,0.3150,1,quick,0
2.8781,0.1940,0.9150,0.2910,1,quick,0
2.8962,0.3840,0.8170,0.3600,1,quick,0
2.9136,0.4220,0.7930,0.3620,1,quick,0
2.9341,0.2750,0.9220,0.3760,1,quick,0
2.9553,0.3600,0.8630,0.3320,1,quick,0
2.9750,0.2420,0.9320,0.3350,1,quick,0
2.9955,0.2290,0.8910,0.3400,1,quick,0
3.0120,0.0820,0.9080,0.3970,1,quick,0
3.0323,0.2270,0.9590,0.4190,1,quick,0
3.0528,0.3390,0.9600,0.4780,1,quick,0
3.0733,0.3920,1.0250,0.4410,1,quick,0
3.0938,0.3100,1.0080,0.2560,1,quick,0
3.1104,0.2370,1.0080,0.1790,1,quick,0
3.1306,0.2130,0.9210,0.2600,1,quick,0
3.1511,0.3880,0.7920,0.3670,1,quick,0
3.1716,0.4160,0.8050,0.3420,1,quick,0
3.1921,0.4600,0.8030,0.3600,1,quick,0
3.2125,0.3730,1.1040,0.3040,1,quick,0
3.2290,0.1760,0.9090,0.3310,1,quick,0
3.2494,0.2680,0.9390,0.3180,1,quick,0
3.2699,0.2540,0.9360,0.2810,1,quick,0
3.2904,0.1920,1.0490,0.4190,1,quick,0
3.3108,0.3090,0.9700,0.2640,1,quick,0
3.3313,0.3060,0.9740,0.2690,1,quick,0
3.3477,0.2760,0.9760,0.2790,1,quick,0
3.3681,0.2580,0.9630,0.2710,1,quick,0
3.3887,0.3030,0.9080,0.2970,1,quick,0
3.4092,0.4230,0.8110,0.3110,1,quick,0
3.4297,0.4110,0.8580,0.2740,1,quick,0
3.4460,0.3620,0.9270,0.2760,1,quick,0
3.4665,0.1540,0.8690,0.2990,1,quick,0
3.4870,0.1910,0.9080,0.3510,1,quick,0
3.5074,0.0940,1.0170,0.2840,1,quick,0
3.5280,0.0880,0.9500,0.2580,1,quick,0
3.5483,0.2310,0.9690,0.4110,1,quick,0
3.5648,0.2750,0.8490,0.0870,1,quick,0
3.5852,0.2840,0.9050,0.1120,1,quick,0
3.6057,0.3270,0.9380,0.2540,1,quick,0
3.6262,0.2700,0.9630,0.2220,1,quick,0
3.6467,0.2990,0.9680,0.2140,1,quick,0
3.6672,0.1840,1.0470,0.4290,1,quick,0
3.6835,0.0820,1.2510,0.3350,1,quick,0
3.7040,0.1030,1.1200,0.2690,1,quick,0
3.7245,0.1200,0.9170,0.2570,1,quick,0
3.7471,0.5040,0.6640,0.2960,1,quick,0
3.7654,0.8470,0.4650,0.2680,1,quick,0
3.7860,0.4710,0.6340,0.3310,0,,0
3.8024,0.4410,0.7070,0.3660,0,,0
3.8227,0.5550,0.6060,0.3480,0,,0
3.8433,0.6520,0.7170,0.2800,0,,0
3.8654,0.2550,0.8990,0.2880,0,,0
3.8844,0.4520,0.8790,0.3070,0,,0
3.9007,0.5610,0.9510,0.2840,0,,0
3.9211,0.2500,1.0360,0.2910,0,,0
3.9415,0.2010,1.0390,0.2710,0,,0
3.9621,0.2110,0.9960,0.3020,0,,0
3.9825,0.3560,0.9070,0.2910,0,,0
4.0030,0.4400,0.8530,0.3090,0,,0
4.0194,0.4150,0.8960,0.3350,0,,0
4.0399,0.3590,0.9040,0.3010,1,quick,0
4.0605,0.3010,0.9180,0.3140,1,quick,0
4.0809,0.3650,0.8670,0.3400,1,quick,0
4.1014,0.3800,0.8720,0.3050,1,quick,0
4.1218,0.3520,1.0350,0.3210,1,quick,0
4.1381,0.2710,0.9290,0.2480,1,quick,0
4.1587,0.3010,0.9010,0.2680,1,quick,0
4.1791,0.3090,0.8960,0.3050,1,quick,0
4.1996,0.3330,0.9160,0.2520,1,quick,0
4.2201,0.3200,0.9270,0.2620,1,quick,0
4.2365,0.3100,0.9310,0.2570,1,quick,0
4.2570,0.3520,0.9210,0.2450,1,quick,0
4.2774,0.3150,0.8790,0.2660,1,quick,0
4.2980,0.3600,0.8080,0.3650,1,quick,0
4.3184,0.5210,0.8470,0.4220,1,quick,0
4.3389,0.3210,0.8230,0.4020,1,quick,0
4.3552,0.2320,1.0370,0.5670,1,quick,0
4.3759,0.3530,0.9880,0.3510,1,quick,0
4.3963,0.2280,0.9210,0.1940,1,quick,0
4.4167,0.3990,0.8300,0.2560,1,quick,0
4.4372,0.3160,0.9450,0.1790,1,quick,0
4.4576,0.3310,0.9560,0.1820,1,quick,0
4.4740,0.4300,0.8890,0.3920,1,quick,0
4.4945,0.2760,0.9420,0.3660,1,quick,0
4.5150,0.3400,0.8250,0.3830,1,quick,0
4.5354,0.4300,0.7750,0.3510,1,quick,0
4.5559,0.4030,0.8480,0.2900,1,quick,0
4.5764,0.3630,0.8750,0.3180,1,quick,0
4.5928,0.3470,0.9520,0.2800,1,quick,0
4.6133,0.2800,0.8960,0.3030,1,quick,0
4.6338,0.2830,0.9350,0.4380,1,quick,0
4.6542,0.2300,0.9380,0.3120,1,quick,0
4.6748,0.2520,0.9540,0.3470,1,quick,0
4.6910,0.3660,0.9760,0.3770,1,quick,0
4.7116,0.3290,0.9810,0.2900,1,quick,0
4.7320,0.3100,0.9540,0.1880,1,quick,0
4.7526,0.2750,0.9880,0.2530,1,quick,0
4.7730,0.4070,0.8250,0.3170,1,quick,0
4.7935,0.4960,0.7910,0.3140,1,quick,0
4.8099,0.4960,0.7780,0.3280,1,quick,0
4.8303,0.2290,1.0400,0.3510,1,quick,0
4.8575,0.1710,0.9430,0.2730,1,quick,0
4.8713,0.2390,0.9340,0.3810,1,quick,0
4.8918,0.2840,0.9130,0.3430,1,quick,0
4.9129,0.3790,0.9730,0.3790,1,quick,0
4.9287,0.3340,0.9550,0.2600,1,quick,0
4.9491,0.3660,0.9320,0.2720,1,quick,0
4.9720,0.2710,1.0320,0.1110,1,quick,0
4.9902,0.2370,0.8420,0.2630,1,quick,0
5.0106,0.3600,0.9790,0.3330,1,quick,0
5.0310,0.2550,0.9790,0.3000,1,quick,0
5.0474,0.2540,0.9290,0.3490,1,quick,0
5.0680,0.2610,0.9020,0.3160,1,quick,0
5.0884,0.4600,0.8140,0.2330,1,quick,0
5.1091,0.4750,0.8180,0.2460,1,quick,0
5.1294,0.4640,1.1300,0.2230,1,quick,0
5.1458,0.2360,0.9080,0.1720,1,quick,0
5.1662,0.2410,0.9460,0.2940,1,quick,0
5.1867,0.2620,0.9330,0.2280,1,quick,0
5.2071,0.2760,0.9510,0.2630,1,quick,0
5.2276,0.3670,0.9700,0.1620,1,quick,0
5.2481,0.2550,0.9860,0.2100,1,quick,0
5.2645,0.2980,0.9860,0.1820,1,quick,0
5.2850,0.3240,0.9610,0.2710,1,quick,0
5.3054,0.3210,0.9550,0.2330,1,quick,0
5.3260,0.4160,0.8230,0.2500,1,quick,0
5.3464,0.5070,0.7830,0.2540,1,quick,0
5.3669,0.3460,0.9360,0.1610,1,quick,0
5.3833,0.2620,0.9510,0.2320,1,quick,0
5.4038,0.2350,0.9200,0.1770,1,quick,0
5.4242,0.2390,0.9120,0.3060,1,quick,0
5.4448,0.3540,0.8700,0.4360,1,quick,0
5.4652,0.1560,0.8460,0.1020,1,quick,0
5.4815,0.2720,0.9930,0.3350,1,quick,0
5.5021,0.3440,1.0180,0.2140,1,quick,0
5.5225,0.3740,1.0350,0.1960,1,quick,0
5.5430,0.1550,0.9900,0.2790,1,quick,0
5.5635,0.2890,1.0390,0.1890,1,quick,0
5.5841,0.4290,0.7920,0.2280,1,quick,0
5.6003,0.4980,0.8100,0.2440,1,quick,0
5.6208,0.5350,0.8330,0.2600,1,quick,0
5.6413,0.2950,0.9220,0.2270,1,quick,0
5.6618,0.1670,0.9680,0.2840,1,quick,0
5.6822,0.2590,0.9690,0.3600,1,quick,0
5.7028,0.2490,0.8820,0.2630,1,quick,0
5.7192,0.1120,1.0230,0.3660,1,quick,0
5.7396,0.3400,1.0480,0.3010,1,quick,0
5.7600,0.2560,1.0240,0.1860,1,quick,0
5.7805,0.3680,0.9750,0.1150,1,quick,0
5.8013,0.4080,0.8940,0.2360,1,quick,0
5.8215,0.4110,0.8450,0.2540,1,quick,0
5.8379,0.3720,0.8960,0.2100,1,quick,0
5.8583,0.3810,0.9260,0.2130,1,quick,0
5.8789,0.2760,0.9580,0.2280,1,quick,0
5.8993,0.3100,0.9290,0.1890,1,quick,0
5.9198,0.3960,0.9020,0.1890,1,quick,0
5.9362,0.3490,0.9320,0.2010,1,quick,0
5.9567,0.1270,1.0020,0.1330,1,quick,0
5.9771,0.1800,0.9800,0.3630,1,quick,0
5.9977,0.2910,0.9140,0.0280,1,quick,0
6.0181,0.3800,0.9630,-0.0260,1,quick,0
6.0386,0.3530,0.9610,0.1600,1,quick,0
6.0591,0.2400,1.0250,0.1000,1,quick,0
6.0755,0.1340,1.0390,0.0860,1,quick,0
6.1001,-0.0100,1.2170,0.2320,1,quick,0
6.1164,0.0070,1.2010,0.2120,1,quick,0
6.1369,0.2940,0.7910,0.1170,1,quick,0
6.1574,0.7040,0.5030,0.1880,1,quick,0
6.1778,0.5970,0.6970,0.2350,1,quick,0
6.1983,0.4280,0.9210,0.1870,0,,0
6.2188,0.4700,0.7980,0.2240,0,,0
6.2352,0.4540,0.7320,0.2440,0,,0
6.2557,0.4670,0.7200,0.2620,0,,0
6.2761,0.3240,0.8600,0.2710,0,,0
6.2966,0.5330,0.8270,0.2510,0,,0
6.3171,0.6480,0.7210,0.3130,0,,0
6.3334,0.6750,0.8380,0.3310,0,,0
6.3540,0.4540,1.0050,0.2730,0,,0
6.3744,0.2740,1.0620,0.2560,0,,0
6.3949,0.2470,0.9580,0.2190,0,,0
6.4154,0.2570,0.9390,0.2200,0,,0
6.4359,0.3290,0.9410,0.2070,0,,0
6.4522,0.4170,0.9030,0.2720,0,,0
6.4729,0.4150,0.8960,0.3060,1,quick,0
6.4932,0.3390,0.9210,0.2870,1,quick,0
6.5137,0.3430,0.9180,0.3090,1,quick,0
6.5344,0.4020,0.8600,0.2850,1,quick,0
6.5546,0.3560,0.9190,0.2740,1,quick,0
6.5710,0.2950,0.9500,0.2470,1,quick,0
6.5915,0.2900,0.9310,0.2650,1,quick,0
6.6120,0.3380,0.9170,0.2850,1,quick,0
6.6324,0.4140,0.9080,0.3790,1,quick,0
6.6530,0.4380,0.9090,0.2440,1,quick,0
6.6734,0.3390,0.9310,0.2220,1,quick,0
6.6898,0.2710,0.9210,0.2160,1,quick,0
6.7155,0.3310,0.9320,0.1710,1,quick,0
6.7307,0.2780,0.8700,0.3490,1,quick,0
6.7512,0.5810,0.8340,0.4600,1,quick,0
6.7717,0.0840,0.8360,0.3690,1,quick,0
6.7881,0.5560,0.9290,0.3230,1,quick,0
6.8086,0.3370,1.0320,0.3050,1,quick,0
6.8295,0.3730,0.8910,0.1790,1,quick,0
6.8495,0.3430,0.9830,0.1600,1,quick,0
6.8700,0.3550,0.8700,0.1200,1,quick,0
6.8905,0.4210,0.8900,0.1880,1,quick,0
6.9069,0.2970,0.9340,0.2290,1,quick,0
6.9274,0.1900,0.8910,0.3050,1,quick,0
6.9478,0.3540,0.9460,0.2630,1,quick,0
6.9683,0.3460,0.8240,0.3080,1,quick,0
6.9888,0.4610,0.7790,0.3160,1,quick,0
7.0096,0.4810,0.8210,0.2120,1,quick,0
7.0257,0.2750,0.9650,0.2810,1,quick,0
7.0462,0.2610,0.9840,0.3250,1,quick,0
7.0667,0.3010,0.9370,0.1570,1,quick,0
7.0871,0.2830,1.0040,0.2790,1,quick,0
7.1075,0.2880,0.9490,0.1850,1,quick,0
7.1240,0.3090,0.9980,0.2010,1,quick,0
7.1444,0.2600,0.9980,0.1560,1,quick,0
7.1650,0.2980,0.9750,0.2320,1,quick,0
7.1854,0.4500,0.7750,0.2820,1,quick,0
7.2059,0.4760,0.7970,0.3000,1,quick,0
7.2263,0.4950,0.7710,0.3310,1,quick,0
7.2427,0.4360,1.1960,0.1400,1,quick,0
7.2633,0.2030,0.8850,0.1820,1,quick,0
7.2837,0.2430,1.0150,0.3360,1,quick,0
7.3042,0.3560,0.8870,0.1240,1,quick,0
7.3247,0.3080,0.9920,0.1990,1,quick,0
7.3451,0.3540,0.9390,0.1930,1,quick,0
7.3615,0.2980,0.9280,0.1770,1,quick,0
7.3821,0.3130,0.9320,0.0010,1,quick,0
7.4024,0.3210,0.9980,0.1920,1,quick,0
7.4229,0.3310,0.9460,0.2780,1,quick,0
7.4435,0.2800,0.9480,0.2310,1,quick,0
7.4641,0.2670,1.0090,0.2240,1,quick,0
7.4803,0.4140,0.7660,0.3070,1,quick,0
7.5009,0.4930,0.8370,0.2720,1,quick,0
7.5212,0.5300,0.7320,0.2510,1,quick,0
7.5417,0.1660,1.1080,0.3610,1,quick,0
7.5622,0.2210,0.9880,0.1800,1,quick,0
7.5786,0.3030,0.9180,0.1850,1,quick,0
7.5991,0.2810,0.9300,0.0670,1,quick,0
7.6195,0.2470,0.9360,0.0280,1,quick,0
7.6400,0.2810,0.9910,0.1870,1,quick,0
7.6605,0.3070,0.9840,0.2230,1,quick,0
7.6810,0.3100,0.9760,0.1950,1,quick,0
7.6973,0.3390,1.0190,0.0970,1,quick,0
7.7198,0.3910,0.8810,0.1690,1,quick,0
