elapsed_s,x_g,y_g,z_g,writing,word,newline
2.7707,0.36,0.87,0.402,1,fox,0
2.7912,0.059,0.914,0.301,1,fox,0
2.8116,0.38,0.818,0.358,1,fox,0
2.8323,0.415,0.905,0.326,1,fox,0
2.8526,0.383,0.929,0.224,1,fox,0
2.869,0.408,0.891,0.3,1,fox,0
2.8895,0.364,0.813,0.264,1,fox,0
2.9099,0.451,0.851,0.392,1,fox,0
2.9304,0.486,0.693,0.334,1,fox,0
2.9509,0.488,0.731,0.041,1,fox,0
2.9714,0.25,0.959,0.31,1,fox,0
2.9878,0.278,0.951,0.378,1,fox,0
3.0082,0.397,0.917,0.356,1,fox,0
3.0287,0.412,0.959,0.26,1,fox,0
3.0492,0.356,0.92,0.345,1,fox,0
3.0699,0.329,0.886,0.337,1,fox,0
3.0902,0.34,0.875,0.328,1,fox,0
3.1065,0.334,0.871,0.422,1,fox,0
3.127,0.457,0.752,0.315,1,fox,0
3.1475,0.518,0.757,0.327,1,fox,0
3.168,0.493,1.099,0.355,1,fox,0
3.1885,0.232,0.94,0.378,1,fox,0
3.2049,0.299,0.981,0.274,1,fox,0
3.2253,0.399,0.933,0.187,1,fox,0
3.2458,0.429,0.906,0.212,1,fox,0
3.2662,0.282,0.819,0.11,1,fox,0
3.2868,0.539,0.886,0.214,1,fox,0
3.3072,0.351,0.839,0.303,1,fox,0
3.3237,0.335,0.876,0.399,1,fox,0
3.3442,0.309,0.915,0.396,1,fox,0
3.3645,0.413,0.957,0.383,1,fox,0
3.3851,0.327,0.992,0.438,1,fox,0
3.4055,0.329,1.002,0.276,1,fox,0
3.426,0.288,0.968,0.223,1,fox,0
3.4425,0.544,0.743,0.199,1,fox,0
3.4629,0.606,0.746,0.29,1,fox,0
3.4834,0.507,0.863,0.173,1,fox,0
3.5039,0.346,0.887,0.242,1,fox,0
3.5243,0.332,0.988,0.296,1,fox,0
3.5407,0.316,0.978,0.219,1,fox,0
3.5612,0.346,0.94,0.292,1,fox,0
3.5817,0.464,0.931,0.216,1,fox,0
3.6022,0.384,0.946,0.247,1,fox,0
3.6227,0.429,0.939,0.188,1,fox,0
3.6431,0.372,0.911,0.228,1,fox,0
3.6595,0.413,0.856,0.166,1,fox,0
3.68,0.433,0.825,0.229,1,fox,0
3.7005,0.503,0.803,0.293,1,fox,0
3.721,0.54,0.714,0.296,1,fox,0
3.7414,0.448,1.356,0.344,1,fox,0
3.7619,0.188,0.894,0.171,1,fox,0
3.7786,0.331,0.968,0.357,1,fox,0
3.7988,0.416,0.985,0.467,1,fox,0
3.8192,0.325,0.853,0.437,1,fox,0
3.8397,0.401,0.912,0.136,1,fox,0
3.8603,0.446,0.926,0.168,1,fox,0
3.8806,0.375,0.924,0.205,1,fox,0
3.897,0.339,0.926,0.245,1,fox,0
3.9175,0.316,0.937,0.21,1,fox,0
3.938,0.335,0.854,0.187,1,fox,0
3.9585,0.124,1.198,0.433,1,fox,0
3.9789,0.166,1.017,0.226,1,fox,0
3.9954,0.226,1.042,0.21,1,fox,0
4.0158,0.459,0.822,0.188,1,fox,0
4.0363,0.636,0.649,0.129,1,fox,0
4.0568,0.821,0.537,0.134,1,fox,0
4.0772,0.741,0.604,0.216,1,fox,0
4.0978,0.663,0.698,0.21,0,,0
4.1141,0.636,0.779,0.182,0,,0
4.1346,0.553,0.821,0.23,0,,0
4.1551,0.538,0.81,0.266,0,,0
4.1756,0.487,0.814,0.289,0,,0
4.196,0.465,0.794,0.283,0,,0
4.217,0.59,0.811,0.251,0,,0
4.2332,0.561,0.816,0.219,0,,0
4.2534,0.537,0.862,0.271,0,,0
4.2741,0.419,0.934,0.206,0,,0
4.2943,0.406,0.954,0.193,0,,0
4.3148,0.422,0.901,0.224,0,,0
4.3314,0.449,0.838,0.233,0,,0
4.3517,0.493,0.827,0.257,0,,0
4.3722,0.492,0.875,0.239,0,,0
4.3926,0.503,0.837,0.212,0,,0
4.4131,0.468,0.844,0.243,0,,0
4.4336,0.411,0.921,0.266,0,,0
4.4501,0.382,0.918,0.245,0,,0
4.4704,0.414,0.874,0.229,0,,0
4.491,0.455,0.862,0.234,0,,0
4.5114,0.478,0.848,0.233,0,,0
4.5319,0.467,0.873,0.255,1,fox,0
4.5523,0.415,0.893,0.249,1,fox,0
4.5688,0.422,0.878,0.233,1,fox,0
4.5892,0.443,0.886,0.254,1,fox,0
4.6097,0.453,0.862,0.249,1,fox,0
4.6302,0.443,0.867,0.264,1,fox,0
4.6507,0.445,0.872,0.276,1,fox,0
4.6712,0.44,0.922,0.256,1,fox,0
4.6875,0.404,0.899,0.217,1,fox,0
4.708,0.446,0.869,0.228,1,fox,0
4.7285,0.482,0.849,0.231,1,fox,0
4.749,0.441,0.878,0.229,1,fox,0
4.7694,0.409,0.907,0.241,1,fox,0
4.7858,0.409,0.89,0.24,1,fox,0
4.8063,0.453,0.836,0.237,1,fox,0
4.8268,0.498,0.825,0.237,1,fox,0
4.8473,0.471,1.017,0.276,1,fox,0
4.8678,0.371,0.902,0.192,1,fox,0
4.8882,0.339,0.935,0.292,1,fox,0
4.9046,0.39,0.908,0.186,1,fox,0
4.9251,0.354,0.979,0.429,1,fox,0
4.9456,0.224,0.789,0.455,1,fox,0
4.9661,0.382,0.912,0.323,1,fox,0
4.9865,0.402,0.899,0.297,1,fox,0
5.007,0.336,0.896,0.242,1,fox,0
5.0234,0.389,0.911,0.254,1,fox,0
5.0439,0.414,0.988,0.343,1,fox,0
5.0643,0.174,0.95,0.375,1,fox,0
