elapsed_s,x_g,y_g,z_g
13.8025,-0.0600,0.9590,0.4350
13.8229,-0.0380,0.9430,0.3860
13.8393,0.1870,0.9840,0.4010
13.8598,0.1480,0.9530,0.3410
13.8803,0.0460,1.0210,0.2720
13.9007,0.0580,1.0470,0.4070
13.9213,0.0060,0.8370,0.4690
13.9417,0.0510,0.8030,0.5830
13.9581,0.1110,0.8570,0.5030
13.9786,0.1340,0.9900,0.2030
13.9991,-0.0480,0.9510,0.2240
14.0196,-0.0050,0.9420,0.4210
14.0400,-0.0100,0.9480,0.3850
14.0605,0.1090,0.9590,0.3330
14.0810,0.0420,0.9750,0.3120
14.1015,-0.3930,0.9710,0.2960
14.1219,0.0130,0.9610,0.3320
14.1424,0.0630,0.9560,0.3820
14.1629,0.2120,0.9880,0.3000
14.1793,0.1080,1.0110,0.4050
14.1997,0.1240,0.9420,0.2590
14.2204,-0.0010,0.9710,0.3540
14.2407,0.0370,0.9620,0.3710
14.2612,0.0460,0.9620,0.3370
14.2817,0.0180,0.9460,0.2880
14.3023,-0.1040,0.9620,0.3510
14.3226,0.1320,0.9540,0.4890
14.3431,0.2120,0.9680,0.3120
14.3595,0.0590,0.9620,0.2450
14.3800,0.1220,0.9960,0.2260
14.4005,0.0400,0.9950,0.3590
14.4210,0.0460,1.0140,0.4320
14.4414,0.0550,1.2610,0.1750
14.4619,0.0200,0.8080,0.5800
14.4784,0.0380,0.8060,0.5980
14.4987,0.1180,0.6700,0.5990
14.5192,0.0490,1.5770,0.0880
14.5397,-0.0020,1.0720,0.3310
14.5602,0.1100,0.9730,0.2960
14.5806,0.0730,0.9800,0.2700
14.6011,0.0030,0.9770,0.3070
14.6176,0.0720,0.9670,0.3690
14.6380,0.0510,0.9580,0.2900
14.6585,-0.0350,1.0480,0.2490
14.6790,-0.0360,1.0180,0.2830
14.6994,0.0790,0.9380,0.4380
14.7200,0.1280,0.9520,0.2800
14.7404,-0.0260,0.9930,0.1480
14.7608,0.0440,0.9800,0.3720
14.7815,0.1110,0.9660,0.3020
14.8021,0.1050,0.9670,0.2650
14.8183,0.0740,0.9660,0.2540
14.8428,-0.0490,1.5250,-0.1640
14.8633,-0.1220,1.2280,-0.0310
14.8838,0.0760,1.0450,0.3680
14.9043,0.1090,0.5620,0.8100
14.9248,0.2630,0.4720,0.6900
14.9411,0.2790,0.8000,0.7290
14.9616,0.0570,0.9030,0.3030
14.9821,0.1420,0.7850,0.5650
15.0026,0.4560,0.9710,0.3460
15.0232,0.1750,1.1610,0.4650
15.0435,-0.3400,0.7180,0.8300
15.0640,0.1040,0.6520,0.5920
15.0804,0.0970,0.8260,0.3960
15.1008,0.0590,1.2190,0.5790
15.1232,0.0720,0.9880,0.3560
15.1418,-0.0300,0.8450,0.5030
15.1623,0.0080,0.9110,0.4060
15.1828,0.0090,0.9910,0.2780
15.2033,-0.0060,1.0310,0.4290
15.2237,0.1110,0.7730,0.6450
15.2401,0.2170,0.8800,0.5690
15.2606,0.1190,0.9680,0.2900
15.2811,-0.0270,1.0480,0.1950
15.3016,-0.0550,0.9730,0.4790
15.3223,0.1310,0.7820,0.6620
15.3425,0.1220,0.8160,0.5520
15.3630,0.0260,0.9830,0.2320
15.3835,-0.0130,1.0800,0.1760
15.4040,-0.0140,0.9370,0.4600
15.4245,0.1090,0.8720,0.5140
15.4449,0.0550,0.9400,0.2980
15.4654,0.1000,0.9600,0.2690
15.4859,-0.0250,0.9470,0.3690
15.5063,-0.0680,0.9060,0.4810
15.5268,0.0480,0.9940,0.3370
15.5473,-0.0980,0.9510,0.3150
15.5678,-0.1050,0.9410,0.3050
15.5883,-0.0530,0.9420,0.3680
15.6087,-0.0520,0.9650,0.3340
15.6292,0.1070,0.9430,0.4160
15.6497,0.0600,0.9370,0.3620
15.6661,0.0100,0.9650,0.3300
15.6867,0.0230,0.9780,0.3510
15.7070,0.1000,0.9780,0.3960
15.7275,0.0620,0.9190,0.4850
15.7480,0.0350,0.9400,0.2800
15.7684,-0.0700,0.9670,0.3280
15.7889,0.1260,0.9100,0.5590
15.8053,0.1180,0.9470,0.3790
15.8258,0.0360,0.9790,0.3000
15.8463,-0.0390,1.1060,0.2940
15.8668,-0.1790,1.0250,0.3540
15.8873,-0.1310,0.9150,0.4110
15.9077,0.1350,0.9530,0.4530
15.9282,0.0860,0.7960,0.4440
15.9487,0.1120,0.7810,0.5850
15.9691,0.0320,0.7810,0.4490
15.9896,-0.0210,0.9470,0.2940
16.0101,-0.1040,1.6050,0.1230
16.0306,-0.0320,0.9940,0.3800
16.0511,0.0790,0.9490,0.3980
16.0732,0.0190,0.9490,0.3990
16.0920,-0.0510,0.9650,0.3100
16.1126,-0.0490,0.9610,0.2930
16.1333,0.0070,0.9660,0.4070
16.1493,0.1340,0.9400,0.4380
16.1739,-0.0040,0.9620,0.3860
16.1944,-0.1890,0.9580,0.3610
16.2144,0.2470,0.9790,0.4310
16.2313,0.1140,0.9350,0.4050
16.2519,0.0710,0.9790,0.3060
16.2726,0.0290,1.0060,0.2000
16.2927,-0.2210,0.9780,0.3980
16.3133,0.0870,0.9600,0.3680
16.3337,0.0030,0.9490,0.3860
16.3542,-0.0620,1.0080,0.2950
16.3746,-0.1910,0.9880,0.3070
16.3953,-0.1240,0.9410,0.4170
16.4156,0.1490,0.9120,0.4630
16.4360,0.0840,0.8770,0.3320
16.4525,0.0170,0.9290,0.3350
16.4731,-0.0910,0.9250,0.3780
16.4934,0.0930,0.9560,0.4790
16.5139,0.1720,0.8290,0.5210
16.5344,0.0930,1.0470,0.0660
16.5549,-0.1260,1.0150,0.1970
16.5754,-0.0260,0.9570,0.4210
16.5958,0.0210,0.9510,0.3970
16.6164,0.0870,0.9640,0.3640
16.6368,0.1220,0.9480,0.3790
16.6573,-0.0850,0.9790,0.2850
16.6777,-0.0100,0.9800,0.3220
16.6983,-0.0140,0.9700,0.3360
16.7187,-0.0730,0.9890,0.3670
16.7392,-0.1280,0.9960,0.2520
16.7596,0.0350,0.9480,0.3720
16.7801,0.1420,0.9970,0.3170
16.7965,0.0330,0.9530,0.3110
16.8170,-0.0350,0.9490,0.3960
16.8375,0.0170,0.7650,0.5270
16.8579,0.0210,0.8040,0.5190
16.8786,-0.0360,1.1260,-0.1590
16.9030,-0.2980,1.0210,0.2620
16.9235,-0.1290,0.9860,0.2520
16.9399,0.2280,0.9570,0.3510
16.9603,0.2170,0.9800,0.3180
16.9808,-0.1230,0.9210,0.2800
17.0014,-0.0670,0.9030,0.4330
17.0259,-0.0880,0.8540,0.4980
17.0423,0.0730,1.1870,0.2720
17.0627,0.0210,1.0370,0.3200
17.0833,0.0070,0.9970,0.3100
17.1037,0.0040,0.9890,0.3650
17.1242,0.1150,1.0080,0.3120
17.1405,0.1550,1.0960,0.2270
17.1651,-0.0410,0.8770,0.4680
17.1856,-0.0210,0.7340,0.6040
17.2020,0.1090,0.8460,0.4640
17.2225,0.0310,1.0380,0.2130
17.2430,0.0160,1.0620,0.1800
17.2634,0.0190,0.9930,0.3100
17.2839,-0.1280,0.9400,0.4800
17.3044,0.1450,0.9490,0.4510
17.3249,0.0630,1.0090,0.2460
17.3414,0.0630,0.9950,0.2520
17.3617,0.0650,0.9760,0.3790
17.3825,-0.0240,0.9520,0.3120
17.4027,-0.2020,0.9600,0.3210
17.4232,0.0000,0.9830,0.3070
17.4436,0.0620,0.9710,0.3520
17.4641,0.2340,0.9840,0.3680
17.4846,-0.0160,0.9780,0.2340
17.5051,-0.5360,1.0270,0.3440
17.5255,-0.2280,0.9710,0.3540
17.5461,0.0500,0.9740,0.3760
17.5666,0.1130,0.9510,0.3170
17.5870,-0.0100,0.9620,0.2610
17.6075,-0.1180,0.9530,0.3050
17.6280,-0.1250,1.0040,0.3870
17.6485,0.2560,0.9830,0.4170
17.6689,0.1100,0.9770,0.2910
17.6894,-0.0090,1.0050,0.1750
17.7099,-0.0890,0.9920,0.3130
17.7304,-0.0780,0.9760,0.3630
17.7512,0.0690,0.9720,0.3090
17.7713,0.0250,1.0300,0.1580
17.7917,-0.0150,1.0400,0.1740
17.8082,0.1250,1.0560,0.2640
17.8286,0.1490,1.0620,0.1680
17.8492,0.0630,1.1670,-0.0140
17.8737,-0.0720,1.5200,-0.1440
17.8942,-0.0150,1.1580,0.1220
17.9147,0.4380,0.8470,0.9150
17.9351,-0.2710,0.1840,1.1990
17.9556,-0.0180,0.2970,1.1720
17.9761,-0.0260,0.6180,0.7520
17.9966,-0.0030,0.7590,0.5660
18.0171,-0.1800,1.0650,0.6860
18.0376,0.3010,0.8690,1.1920
18.0580,-0.1190,0.5510,1.0350
18.0785,-0.0200,0.6090,0.9280
18.0990,-0.1460,0.8440,0.4940
18.1195,-0.0850,1.0650,-0.0690
18.1399,0.1040,1.0200,0.5210
18.1604,-0.0710,0.8160,0.5940
18.1809,-0.0380,0.5690,0.5380
18.2014,-0.3830,0.2730,0.6960
18.2260,-0.0390,0.1380,0.9050
18.2424,0.1490,0.3250,0.6980
18.2628,0.0980,0.6590,0.1920
18.2833,-0.2470,0.7900,0.1460
18.3040,-0.2000,0.7810,0.3840
18.3243,0.0580,0.6500,0.7570
18.3448,0.1380,0.5280,0.7660
18.3652,0.0650,0.8780,0.3240
18.3857,-0.1240,1.1380,0.4420
18.4062,0.0260,0.9530,0.9450
18.4267,0.2660,0.3870,1.1820
18.4431,0.0800,0.5640,0.4240
18.4636,0.0770,1.2650,0.1450
18.4840,0.0260,1.1410,0.5830
18.5045,-0.1970,0.5220,1.0350
18.5250,0.3660,0.5280,0.7670
18.5454,0.1020,1.3180,0.3150
18.5659,0.2360,1.4100,1.0660
18.5824,0.0590,1.1890,0.4910
18.6069,-0.0420,0.4040,0.5630
18.6233,0.0060,0.5620,0.7920
18.6437,0.2500,0.8320,0.6820
18.6642,0.0320,0.7960,0.4790
18.6847,0.0450,1.0110,0.3940
18.7052,-0.0060,1.0690,0.3870
18.7256,-0.0830,0.7960,0.5910
18.7462,0.2180,0.8210,0.6610
18.7666,0.0660,0.7710,0.5000
18.7871,-0.0450,1.0650,0.3870
18.8075,-0.0500,0.9450,0.4550
18.8280,0.0880,0.7130,0.6900
18.8445,0.1060,0.7450,0.5930
18.8690,-0.0610,1.1320,0.3070
18.8895,-0.0980,0.9400,0.3750
18.9059,0.0980,0.8590,0.6450
18.9264,0.1220,0.8060,0.6520
18.9468,0.0980,0.9220,0.4250
18.9673,-0.0390,0.9330,0.4680
18.9877,-0.0080,0.9460,0.5680
19.0082,0.1350,0.8980,0.5000
19.0287,-0.0290,0.9120,0.4040
19.0492,-0.0170,0.9100,0.6550
19.0697,0.4330,0.9150,0.5470
19.0902,0.6410,0.9120,0.5410
19.1107,0.1670,0.9730,0.3630
19.1311,0.0140,1.0560,0.4530
19.1497,0.0950,0.7830,0.5140
19.1680,-0.0840,0.7220,0.6070
19.1885,-0.0360,0.8110,0.5210
19.2130,-0.1640,0.9190,0.5210
19.2294,0.0540,0.8520,0.5720
19.2499,0.0460,0.9570,0.4090
19.2703,0.0630,0.9480,0.3980
19.2960,-0.0840,0.9730,0.6210
19.3114,0.2740,0.9030,0.7600
19.3318,0.1260,0.8650,0.5290
19.3524,0.1440,0.9390,0.4070
19.3728,-0.0170,0.9920,0.4380
19.3932,0.0250,0.7850,0.6110
19.4096,0.0390,0.7240,0.6640
19.4301,0.0430,0.8540,0.4790
19.4506,-0.0290,0.8890,0.5110
19.4712,-0.0240,0.9100,0.4210
19.4916,-0.0510,0.9150,0.4700
19.5120,-0.2500,0.9490,0.3020
19.5325,0.0890,0.9030,0.4410
19.5532,0.0170,0.9090,0.4780
19.5735,0.0740,0.9450,0.4830
19.5939,0.1480,0.8900,0.4300
19.6146,0.0510,0.9100,0.4310
19.6349,-0.0200,0.7980,0.6720
19.6554,0.0270,0.7750,0.6400
19.6718,0.0190,0.9700,0.3570
19.6922,0.0910,0.9310,0.3990
19.7127,-0.0080,0.9260,0.4960
19.7332,-0.1510,0.9370,0.5690
19.7537,0.1400,0.8790,0.2710
19.7741,0.0690,1.0090,0.3520
19.7946,0.0170,1.0410,0.2660
19.8151,0.2640,0.7680,0.6740
19.8315,0.2430,0.7160,0.6880
19.8520,0.0170,0.8780,0.6010
19.8725,-0.0210,0.9470,0.4180
19.8930,-0.0440,1.0860,0.3760
19.9134,0.0410,1.0140,0.4660
19.9339,0.0720,0.9970,0.4720
19.9544,0.3260,0.9230,0.7210
19.9749,0.3210,0.8420,0.4630
19.9953,0.0970,0.7630,0.5530
20.0117,0.0210,0.8350,0.5170
20.0322,0.1160,0.7260,0.4400
20.0527,0.1050,0.9580,0.3350
20.0732,0.0940,0.9410,0.3800
20.0936,0.1530,0.9010,0.4020
20.1141,0.0510,0.9090,0.4830
20.1305,0.0930,0.9320,0.3960
20.1510,0.0300,0.9490,0.4030
20.1715,0.0470,0.9380,0.3660
20.1920,-0.0130,0.8950,0.4840
20.2126,-0.0410,0.9520,0.4210
20.2329,-0.0440,0.9120,0.4040
20.2534,0.1450,1.0050,0.3930
20.2738,0.0870,0.9750,0.2710
20.2944,-0.0070,0.8430,0.5320
20.3148,0.1050,0.6400,0.6970
20.3353,0.0780,0.7430,0.5940
20.3517,0.0680,1.0590,0.3840
20.3722,-0.0030,1.1420,0.3340
20.3967,-0.1630,0.9640,0.3620
20.4131,0.2050,0.9120,0.4300
20.4336,0.2140,0.9580,0.4290
20.4541,0.1310,0.9190,0.4120
20.4746,0.0250,0.8540,0.4910
20.4950,0.0980,0.7570,0.5900
20.5155,0.1260,0.8310,0.5120
20.5360,-0.0150,0.8350,0.4720
20.5565,-0.0560,0.9750,0.3930
20.5769,0.0460,0.9660,0.4250
20.5934,0.2940,0.9550,0.2810
20.6139,-0.0240,0.9500,0.2690
20.6343,0.0090,1.0950,0.2420
20.6548,0.1980,1.1200,0.2370
20.6753,-0.0640,1.3960,0.1020
20.6957,-0.0280,0.9490,0.4050
20.7162,0.1880,0.5360,0.7770
20.7367,0.4000,0.4200,1.0410
20.7571,0.3510,0.4770,0.9180
20.7776,0.2970,0.7620,0.8200
20.7940,0.2820,0.8460,0.8110
20.8145,0.1920,0.6400,0.8590
20.8350,0.1550,0.4860,0.3940
20.8555,-0.1750,1.0890,-0.1590
20.8760,-0.1460,0.7340,0.3970
20.8964,0.1510,0.3440,0.9660
20.9169,0.2690,0.3430,0.8290
20.9373,0.1460,0.7770,0.3840
20.9579,0.0490,0.6900,0.5750
20.9784,0.2110,0.6100,0.6700
20.9948,0.1720,0.6800,0.5280
21.0152,0.0530,0.9530,0.2600
21.0359,0.2060,1.2170,1.3420
21.0562,-0.0420,1.9470,0.1530
21.0766,0.1040,0.2620,0.7510
21.0971,0.1130,0.3910,0.8900
21.1176,0.1350,0.7530,0.7020
21.1340,0.1490,0.9970,0.4490
21.1545,0.0230,1.0320,0.3970
21.1749,0.0110,0.9110,0.4350
21.1954,0.0520,0.8290,0.5940
21.2159,0.0750,0.7780,0.6710
21.2363,0.1090,0.9190,0.5410
21.2528,0.0690,0.9690,0.4100
21.2732,0.0490,0.8600,0.5240
21.2938,0.0600,0.7710,0.6500
21.3142,0.0910,0.7530,0.6370
21.3347,0.0350,0.9710,0.4020
21.3552,-0.0310,0.9750,0.3680
21.3756,0.0530,0.8840,0.5460
21.3920,0.0830,0.7250,0.6540
21.4129,0.0610,0.8090,0.5250
21.4330,0.0340,0.9970,0.3740
21.4537,-0.0370,0.9970,0.4140
21.4740,0.0630,0.7610,0.6440
21.4944,0.0960,0.8620,0.5550
21.5149,0.0040,0.9400,0.3970
21.5354,-0.0650,0.9670,0.3910
21.5558,-0.0450,0.8620,0.5420
21.5764,0.0520,0.8890,0.5480
21.5927,0.0590,0.9340,0.4440
21.6133,0.0540,0.9100,0.4550
21.6336,0.0210,0.8980,0.5070
21.6542,0.0970,0.8930,0.5030
21.6746,0.0290,0.9040,0.4280
21.6951,-0.0170,0.9050,0.5010
21.7156,-0.0010,0.7910,0.5710
21.7360,-0.0610,0.9180,0.5960
21.7565,0.2490,0.9100,0.4290
21.7770,0.2280,0.9340,0.4790
21.7934,0.1530,0.9140,0.5300
21.8139,0.0770,0.9160,0.4960
21.8344,0.0200,0.9610,0.5330
21.8549,0.0550,0.9240,0.5160
21.8754,0.0730,0.8700,0.4600
21.8958,-0.0180,0.9140,0.4400
21.9162,0.1080,0.9710,0.2810
21.9368,-0.0150,0.8170,0.3900
21.9573,0.1290,0.6500,0.6750
21.9736,0.1230,0.7230,0.6880
21.9941,0.0750,0.9330,0.5260
22.0152,0.0260,0.9380,0.3090
22.0351,0.0180,0.9260,-0.0090
22.0555,0.0850,0.8990,0.3670
22.0760,0.0690,0.8980,0.3170
22.0965,0.0840,0.8590,0.4810
22.1154,0.0150,0.9150,0.4320
22.1334,-0.0360,0.9150,0.4970
22.1539,0.1860,0.8400,0.2650
22.1744,0.0980,0.8900,0.3480
22.1948,0.2310,0.9250,0.4780
22.2152,0.2030,0.9900,0.3640
22.2357,0.1910,0.8650,0.3540
22.2522,0.0080,0.9140,0.4880
22.2732,0.0390,0.6790,0.7060
22.2930,-0.0490,0.7560,0.6150
22.3136,0.0080,1.0780,0.3050
22.3340,0.1220,1.1920,0.4340
22.3546,0.0550,1.0210,0.4350
22.3752,0.0270,0.9270,0.1470
22.3914,0.0220,0.9340,0.1560
22.4119,0.2340,0.9000,0.3730
22.4325,0.0700,0.8360,0.5670
22.4528,0.0570,0.7330,0.6720
22.4733,0.0870,0.8420,0.5140
22.4938,0.0760,0.9230,0.3560
22.5102,0.1000,1.2370,0.3450
22.5307,0.1460,0.9680,0.5350
22.5511,-0.0310,0.9630,0.4350
22.5716,0.1820,0.9020,0.4390
22.5920,0.1200,0.9210,0.3540
22.6126,0.0930,0.9160,0.4660
22.6337,0.0840,0.8900,0.5100
22.6494,0.0210,0.8990,0.4460
22.6700,-0.1640,0.8990,0.3590
22.6945,-0.1270,0.9720,0.3100
22.7149,-0.0070,0.9400,0.4980
22.7314,0.0130,0.9510,0.4250
22.7518,0.2510,0.9590,0.3550
22.7723,0.0980,0.9600,0.3470
22.7928,0.0720,0.7750,0.3890
22.8133,0.0290,0.9930,0.5050
22.8337,0.0820,0.6630,0.6290
22.8501,0.1160,0.7700,0.6270
22.8706,0.0160,0.9770,0.3090
22.8911,0.0680,0.9350,0.3490
22.9116,0.0900,0.9620,0.3840
22.9321,0.1180,0.9320,0.4560
22.9525,0.2470,0.8850,0.3810
22.9689,0.3060,0.9400,0.4170
22.9894,0.1770,0.9420,0.3040
23.0098,0.4370,0.9790,0.3520
23.0305,0.1700,0.8650,0.5500
23.0508,0.1000,0.7180,0.7230
23.0713,-0.0300,0.9340,0.4440
23.0917,0.0280,0.9060,0.3450
23.1122,-0.0010,0.9900,0.4380
23.1287,0.2230,0.9590,0.5830
23.1491,0.2000,0.8870,0.3540
23.1696,0.0980,0.9620,0.3630
23.1901,0.1000,0.9640,0.3080
23.2133,0.2010,0.9260,0.3920
23.2330,-0.0440,1.0020,0.3910
23.2515,-0.0180,0.9770,0.3200
23.2720,-0.1480,1.2410,0.1200
23.2925,-0.1160,1.2200,0.1160
23.3129,-0.0550,1.1930,0.3270
23.3336,0.2230,0.6520,0.7420
23.3539,0.2800,0.5270,0.8940
23.3744,0.4270,0.3440,0.8790
23.3907,0.3560,0.3320,0.8810
23.4113,0.1970,0.4730,0.8690
23.4317,0.3250,0.6170,0.6540
23.4522,0.2050,0.8190,0.3040
23.4727,-0.0300,1.1020,0.1490
23.4931,-0.0120,0.8400,0.4170
23.5137,0.1500,0.5420,0.8250
23.5341,0.2590,0.6400,0.5510
23.5546,0.0050,1.1410,0.4180
23.5710,0.1250,1.1890,0.5420
23.5915,0.1040,0.7600,0.6230
23.6119,0.2430,0.5750,0.4920
23.6324,0.0770,0.9630,0.2030
23.6529,0.0110,1.3290,0.3880
23.6734,0.0860,0.8830,0.4400
23.6897,0.1230,0.8060,0.5060
23.7102,0.1040,0.7600,0.4950
23.7307,0.1190,0.9920,0.3820
23.7512,0.1390,1.0860,0.4320
23.7717,0.1330,0.7600,0.6000
23.7881,0.1420,0.6420,0.7040
23.8085,0.1860,0.8570,0.5610
23.8290,0.2090,0.9900,0.3840
23.8495,0.1010,0.9670,0.3550
23.8700,0.0530,0.8900,0.4670
23.8905,0.1120,0.9050,0.5030
23.9069,0.1000,0.8710,0.5070
23.9273,0.1040,0.8250,0.4840
23.9478,0.1320,0.8650,0.5250
23.9683,0.1610,0.9000,0.4540
23.9901,0.0630,0.8740,0.5140
24.0092,0.1090,0.8600,0.5470
24.0256,0.0640,0.7690,0.5440
24.0461,0.0050,0.9280,0.4410
24.0666,0.0610,0.9840,0.4090
24.0870,0.0530,0.9080,0.4690
24.1075,0.1210,0.8300,0.4950
24.1280,0.0440,0.9100,0.4970
24.1444,0.0750,0.9140,0.4440
24.1649,0.0350,0.9120,0.3700
24.1854,0.1240,0.9140,0.4760
24.2058,0.0270,0.8980,0.5350
24.2263,-0.0520,0.9170,0.4100
24.2468,-0.0070,0.9080,0.3160
24.2672,0.0360,0.9020,0.5390
24.2878,0.3270,0.9540,0.4730
24.3042,0.2200,0.9340,0.4790
24.3246,0.4470,1.0030,0.3350
24.3456,0.0860,0.9030,0.4920
24.3656,0.0140,0.7750,0.6330
24.3860,0.0180,0.7050,0.5850
24.4065,0.0250,0.9490,0.3940
24.4230,0.1310,0.9440,0.3660
24.4435,0.0670,0.9330,0.3570
24.4639,0.0280,0.9570,0.4850
24.4844,0.0120,0.9570,0.6230
24.5049,0.0480,0.9490,0.5390
24.5253,0.2210,0.8750,0.5710
24.5417,0.1110,0.8910,0.4080
24.5628,-0.0150,0.9010,0.4190
24.5867,-0.1410,0.9820,0.5880
24.6072,-0.0210,0.9310,0.3120
24.6277,-0.1530,0.9940,0.3480
24.6441,0.0670,0.9870,0.4040
24.6647,0.1470,0.9620,0.4230
24.6850,0.0100,0.9630,0.3850
24.7055,0.0150,1.0020,0.4190
24.7261,0.0270,0.7430,0.5810
24.7465,0.1270,0.8820,0.5150
24.7629,0.1210,0.7320,0.5560
24.7834,0.0540,1.0390,0.5250
24.8038,0.1380,0.9170,0.3510
24.8243,0.2160,0.9190,0.4250
24.8448,0.1340,0.9040,0.4310
24.8652,0.0860,0.9100,0.4190
24.8857,-0.0490,0.9920,0.5130
24.9022,0.0280,0.9710,0.2570
24.9267,-0.0270,0.9400,0.5150
24.9430,0.2130,0.9260,0.4610
24.9636,0.1830,0.9850,0.3090
24.9840,0.3880,0.9810,0.2880
25.0046,-0.0710,0.8910,0.3610
25.0251,0.0230,0.9020,0.4090
25.0456,-0.0320,0.9370,0.3930
25.0671,0.0200,0.9670,0.4050
25.0864,-0.1110,1.0620,0.3430
25.1069,0.0460,0.8370,0.5390
25.1276,0.1140,0.9040,0.4150
25.1438,0.1260,0.8810,0.4800
25.1642,0.1620,0.8330,0.5120
25.1847,0.1380,0.9220,0.4360
25.2053,0.0800,0.9660,0.2910
25.2257,0.0920,0.9220,0.3970
25.2466,-0.0530,0.9300,0.3930
25.2666,0.1690,0.9150,0.3360
25.2871,-0.0150,0.8800,0.5380
25.3037,0.0970,0.9610,0.2310
25.3280,-0.2230,0.9530,0.3820
25.3445,0.1260,0.9420,0.3740
25.3650,0.1600,0.9630,0.4540
25.3854,0.2300,0.9290,0.3490
25.4059,0.0380,0.9070,0.3970
25.4264,0.1190,0.8860,0.4770
25.4469,0.0830,0.9230,0.4030
25.4632,0.1810,0.9260,0.3580
25.4837,0.1310,0.9350,0.3370
25.5053,0.0290,0.9420,0.4130
25.5247,0.1020,0.9380,0.4260
25.5454,0.1030,0.9490,0.3530
25.5617,0.0250,0.9550,0.3880
25.5821,0.0430,0.9680,0.3960
25.6026,0.0430,1.0970,0.2600
25.6230,0.0050,1.0800,0.2650
25.6435,0.0420,1.0150,0.3860
25.6639,0.2130,0.5870,0.7930
25.6803,0.2600,0.5410,0.7510
25.7008,0.1480,0.7650,0.5440
25.7213,0.1100,1.0810,0.2890
25.7418,0.1030,0.9920,0.3740
25.7622,0.1660,0.8660,0.5540
25.7828,0.2540,0.7120,0.6590
25.7991,0.1980,0.8890,0.4010
25.8196,0.0530,1.0550,0.2360
25.8401,0.0000,1.0580,0.3220
25.8606,0.1180,0.8360,0.5660
25.8810,0.2900,0.7600,0.5600
25.9015,0.2100,0.9240,0.3380
25.9179,0.0380,1.0850,0.2420
25.9384,0.0370,0.9790,0.4070
25.9588,0.1580,0.8350,0.5410
25.9793,0.2370,0.7870,0.5120
25.9998,0.1490,1.1400,0.2780
26.0162,0.0830,0.9430,0.3090
26.0366,0.0410,0.9240,0.4270
26.0571,0.1090,0.9150,0.4760
26.0776,0.1740,0.9240,0.4530
26.0981,0.1030,0.9290,0.3580
26.1191,0.0890,0.9340,0.3560
26.1349,0.0930,0.9270,0.4370
26.1555,0.1520,0.9200,0.4520
26.1759,0.1310,0.9290,0.4060
26.1965,0.1400,0.9320,0.3500
26.2169,0.1190,0.9370,0.3920
26.2374,0.0770,0.9300,0.4240
26.2537,0.1070,0.9260,0.4070
26.2742,0.0980,0.9300,0.4170
26.2947,0.1390,0.9340,0.4150
26.3152,0.0960,0.9300,0.3920
26.3357,0.0670,0.9220,0.4240
26.3522,0.1100,0.9240,0.3840
26.3730,0.1030,0.9410,0.3910
26.3930,0.1410,0.9380,0.4030
26.4135,0.0830,0.9830,0.4330
26.4340,0.0280,1.2630,0.1560
26.4546,-0.0500,1.0680,0.3010
26.4750,0.1050,0.8970,0.4870
26.4954,0.1690,0.7210,0.6260
26.5121,0.1840,0.7660,0.6040
26.5324,0.1430,0.8170,0.5140
26.5528,0.1340,0.9360,0.4070
26.5732,0.1080,0.9720,0.3960
26.5937,0.1020,1.0360,0.3580
26.6100,0.1420,1.0210,0.4040
26.6306,0.1850,0.8630,0.4980
26.6510,0.2390,0.7310,0.6300
26.6715,0.2490,0.6050,0.7180
26.6920,0.3050,0.4810,0.9460
26.7125,0.3250,0.5290,0.8310
26.7289,0.0910,0.5600,0.7580
26.7493,-0.0310,0.4010,0.6860
26.7739,-0.0110,0.5930,0.7570
26.7944,-0.0360,0.7910,0.7670
26.8107,0.2980,0.9170,0.7330
26.8353,-0.0290,0.7330,0.5930
26.8558,-0.1370,0.4070,0.9170
26.8763,-0.0720,0.2960,0.8960
26.8968,-0.0010,0.4730,0.9720
26.9172,0.2220,0.5880,0.8080
26.9377,-0.0280,0.5420,0.6550
26.9583,0.1980,0.5630,0.6860
26.9787,-0.2390,0.3270,0.9590
26.9951,0.2060,0.3570,0.9070
27.0156,0.0080,0.3640,0.9780
27.0360,0.1350,0.3050,0.5220
27.0566,-0.2060,0.3610,1.0080
27.0770,-0.1340,-0.0110,1.2340
27.1015,-0.1030,-0.0060,1.1810
27.1221,-0.0910,0.0490,1.1070
27.1425,-0.3000,0.0480,1.0690
27.1630,-0.4160,0.0590,0.5110
27.1835,-0.0580,0.2200,-0.0090
27.2080,-0.0340,-0.0730,0.6980
27.2285,-0.4850,-0.3770,0.5500
27.2490,0.2180,-0.7160,1.0530
27.2695,-1.1340,-0.6410,0.9720
27.2941,-0.5840,-0.1410,0.7090
27.3146,-0.1540,-0.3450,0.8020
27.3350,-2.0000,0.0970,0.2060
27.3596,-0.4100,-0.9540,0.2030
27.3801,-0.9220,-0.4380,0.3800
27.4005,-1.2250,0.4590,0.4540
27.4211,-1.0210,-0.1260,0.0840
27.4416,0.4450,0.0440,0.7370
27.4620,-0.9960,-0.0140,0.3880
27.4866,-0.8000,-0.0270,0.3810
27.5070,-0.9170,-0.0680,0.4380
27.5275,-0.9940,0.9140,0.2260
27.5480,-1.0570,0.0070,0.4080
27.5685,-0.9900,0.0100,0.3700
27.5890,-0.9110,0.0170,0.4270
