elapsed_s,x_g,y_g,z_g
3.1492,0.0490,0.8220,0.6670
3.1743,0.0610,0.6440,0.6930
3.1903,0.0190,0.7560,0.5250
3.2107,-0.0620,1.0000,0.3390
3.2313,-0.0670,0.9780,0.3740
3.2516,-0.2490,0.9560,0.3950
3.2722,-0.0920,0.9320,0.6220
3.2926,0.1080,0.9720,0.2280
3.3132,-0.0310,0.9520,0.4460
3.3336,0.0490,0.9280,0.5180
3.3541,0.0640,0.8450,0.5690
3.3745,-0.0320,0.8020,0.5910
3.3951,0.0810,0.8020,0.5190
3.4155,-0.0340,0.9840,0.3360
3.4360,-0.0880,0.9470,0.4330
3.4564,0.1370,0.9100,0.4020
3.4729,0.0670,0.9800,0.4170
3.4933,0.0910,0.9380,0.4390
3.5138,0.0980,0.9330,0.4140
3.5344,0.3120,0.9230,0.5350
3.5547,0.0540,0.6230,0.7050
3.5752,-0.1160,0.7610,0.5850
3.5957,-0.0910,0.9640,0.3330
3.6162,0.0370,1.0950,0.2730
3.6367,-0.1020,1.0260,0.4390
3.6572,-0.1450,1.0540,0.3370
3.6776,0.1830,0.8970,0.4040
3.6982,0.1550,0.7530,0.5800
3.7146,0.0520,0.7100,0.6060
3.7350,-0.0930,0.8550,0.5140
3.7555,0.0190,1.0080,0.3660
3.7759,0.0750,0.9570,0.3300
3.7964,0.4000,0.9240,0.3530
3.8169,0.0110,0.9450,0.4540
3.8374,-0.1480,0.9370,0.3450
3.8578,-0.0210,0.9420,0.3910
3.8784,-0.0450,0.9740,0.4780
3.8988,-0.0820,0.9210,0.4190
3.9193,0.0140,0.9760,0.3710
3.9398,0.0930,0.6840,0.4800
3.9602,-0.0310,0.8580,0.5710
3.9813,0.1160,0.7260,0.5940
3.9973,0.0750,0.8010,0.4910
4.0217,-0.0200,1.0450,0.2150
4.0429,-0.1690,1.0710,0.4390
4.0627,-0.0250,1.0340,0.2420
4.0832,0.1990,0.9380,0.5040
4.0995,0.2900,0.8720,0.5190
4.1200,0.0390,0.8300,0.4720
4.1405,-0.0770,0.8200,0.5440
4.1631,-0.0130,0.8210,0.5320
4.1814,0.0440,1.0650,0.3470
4.2020,-0.0120,1.0210,0.3930
4.2224,-0.0510,1.0410,0.4020
4.2428,0.2270,0.8240,0.4400
4.2633,0.1400,1.1580,0.1540
4.2838,-0.0590,1.3460,0.0870
4.3043,-0.0440,1.3680,0.1310
4.3250,-0.0440,0.7650,0.6240
4.3453,0.1980,0.2310,1.1060
4.3657,0.2030,0.2120,1.2010
4.3862,0.1690,0.4980,0.9440
4.4067,0.0790,0.6130,0.7570
4.4231,0.0550,0.3780,0.7870
4.4435,0.1870,0.9240,-0.0120
4.4682,-0.0440,1.0330,0.4380
4.4845,0.0810,0.5970,0.6770
4.5050,0.1170,0.2930,0.7510
4.5255,0.0720,0.7970,0.2860
4.5459,-0.0750,1.0940,0.5270
4.5664,0.1580,0.8230,1.6990
4.5869,0.1070,1.5200,0.3390
4.6074,-0.1010,0.3460,0.6810
4.6278,0.0010,0.8550,0.5730
4.6483,-0.0630,1.0450,0.5110
4.6689,-0.0380,0.7500,0.5310
4.6893,0.0220,0.9870,0.4870
4.7097,-0.0980,0.7400,0.6250
4.7302,0.0400,0.7880,0.6180
4.7466,0.0160,0.8620,0.5850
4.7672,0.0150,1.0830,0.4200
4.7876,-0.1320,0.9260,0.5170
4.8081,-0.0490,0.7710,0.6490
4.8285,-0.0240,0.8020,0.6040
4.8490,-0.0470,0.9290,0.4590
4.8736,-0.1530,0.9720,0.4360
4.8940,-0.0140,0.8310,0.6660
4.9105,0.0390,0.7270,0.6640
4.9350,-0.0220,0.9560,0.4280
4.9555,-0.1100,0.9400,0.3450
4.9760,-0.0810,0.8920,0.5740
4.9965,0.0480,0.9470,0.5670
5.0129,0.0890,0.8860,0.4770
5.0334,-0.0550,0.9080,0.4320
5.0579,-0.0890,0.8940,0.4510
5.0784,-0.1190,0.9280,0.6400
5.0988,-0.1980,0.9260,0.3930
5.1195,-0.6230,1.0380,0.5670
5.1398,0.3340,0.9810,0.7940
5.1603,-0.0090,0.8440,0.4650
5.1767,0.0060,0.8490,0.4580
5.1972,0.3910,0.8960,0.4440
5.2177,0.1940,0.8960,0.3740
5.2382,-0.3070,0.9090,0.4810
5.2587,-0.1460,0.9300,0.5190
5.2791,-0.0500,0.9970,0.4100
5.2996,-0.2110,0.6990,0.4870
5.3243,-0.1010,0.8910,0.5680
5.3405,0.0510,0.7360,0.6150
5.3610,-0.1080,0.8770,0.5200
5.3856,-0.0530,0.8430,0.5060
5.4060,-0.0250,1.2510,0.5400
5.4224,0.0060,0.9090,0.4660
5.4429,-0.2790,0.9230,0.5090
5.4695,-0.2070,0.8710,0.5700
5.4880,-0.0210,0.9390,0.5170
5.5044,0.0320,0.9860,0.3540
5.5248,0.0120,0.7580,0.5070
5.5453,-0.0800,0.7630,0.6220
5.5658,-0.0050,0.7490,0.6910
5.5864,0.0390,0.8240,0.5470
5.6067,-0.1280,0.8720,0.3960
5.6272,-0.2040,1.1660,0.3870
5.6477,0.0170,0.9400,0.4980
5.6682,-0.1110,0.9080,0.5320
5.6887,-0.1400,0.9370,0.5060
5.7093,0.4290,0.9630,0.6030
5.7297,0.3310,0.9080,0.5290
5.7501,0.1010,0.9380,0.4350
5.7705,0.4550,0.8650,0.6210
5.7911,0.1310,0.8270,0.4950
5.8115,-0.0100,0.9260,0.4770
5.8321,-0.0640,0.9470,0.4710
5.8525,0.0470,0.7380,0.5780
5.8689,0.0110,0.9220,0.4870
5.8894,-0.0150,0.9110,0.4450
5.9139,-0.0630,0.7860,0.6100
5.9303,0.0430,0.7640,0.6240
5.9508,0.0180,0.9570,0.0940
5.9713,-0.2400,0.9240,0.4020
5.9919,-0.1560,0.9250,0.4040
6.0146,-0.2150,0.8130,0.2410
6.0336,-0.1080,0.8920,0.4720
6.0533,0.0210,0.9460,0.4170
6.0736,0.1050,1.0020,0.3540
6.0942,0.0270,0.9230,0.3950
6.1147,-0.1620,0.8380,0.6060
6.1351,-0.0050,0.7970,0.7510
6.1556,0.1350,0.6500,0.5600
6.1761,0.0070,0.9590,0.2930
6.1965,-0.0360,0.9410,0.3700
6.2170,-0.0520,0.9150,0.4870
6.2375,-0.1310,0.9170,0.4730
6.2580,0.0570,0.9060,0.3590
6.2784,0.1770,0.9610,0.4160
6.2951,0.0080,0.9100,0.4390
6.3153,0.1270,1.0740,0.3410
6.3358,0.1130,0.9650,0.4120
6.3563,0.1630,0.6910,0.6270
6.3768,0.0350,0.8260,0.5910
6.3972,0.0520,0.7990,0.6110
6.4137,0.0010,1.0010,0.0700
6.4382,-0.1600,0.9400,0.3620
6.4587,-0.0670,0.9090,0.4950
6.4792,-0.1130,0.8770,0.5550
6.4956,0.1810,0.9000,0.2500
6.5201,-0.0710,0.9680,0.3740
6.5367,0.0270,0.9310,0.4050
